director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted
Baz Luhrmann,105000000.0,"['Drama', 'Romance']",Leonardo DiCaprio,The Great Gatsby ,"['ingratitude', 'mansion', 'party', 'title appears in writing', 'tragedy']",PG-13,Drama
Seth MacFarlane,40000000.0,"['Comedy', 'Western']",Liam Neeson,A Million Ways to Die in the West ,"['dancing sheep', 'fetish', 'musical scene', 'racial humor', 'snake poison']",R,Western
Paul Greengrass,100000000.0,"['Action', 'Drama', 'Thriller', 'War']",Matt Damon,Green Zone ,"['cia', 'iraq', 'iraqi', 'political military conspiracy', 'weapon of mass destruction']",R,Drama
Marc Forster,30000000.0,"['Action', 'Biography', 'Crime', 'Drama']",Gerard Butler,Machine Gun Preacher ,"['africa', 'biker', 'church', 'orphanage', 'preacher']",R,Biography
Sam Raimi,139000000.0,"['Action', 'Adventure', 'Fantasy', 'Romance']",J.K. Simmons,Spider-Man ,"['evil', 'goblin', 'spider', 'spider man', 'superhero']",PG-13,Romance
Luc Besson,390000000.0,"['Adventure', 'Biography', 'Drama', 'History', 'War']",Paul Brooke,The Messenger: The Story of Joan of Arc ,"['cathedral', 'dauphin', 'france', 'trial', 'wartime rape']",R,Drama
Scott Hicks,31000000.0,"['Drama', 'Mystery']",Anthony Hopkins,Hearts in Atlantis ,"['based on multiple works', 'bully', 'kiss', 'memory', 'mysterious stranger']",PG-13,Drama
David O. Russell,40000000.0,"['Crime', 'Drama']",Jennifer Lawrence,American Hustle ,"['based on true story', 'con artist', 'drunk wife', 'fbi investigation', 'scam']",R,Drama
Wolfgang Petersen,160000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",Jimmy Bennett,Poseidon ,"['cruise', 'escape', 'ocean', 'passenger', 'water']",PG-13,Action
Thomas Carter,30000000.0,"['Drama', 'Sport']",Channing Tatum,Coach Carter ,"['basketball', 'basketball coach', 'coach', 'contract', 'high school']",PG-13,Drama
Evan Goldberg,32000000.0,"['Comedy', 'Fantasy']",Channing Tatum,This Is the End ,"['apocalypse', 'celebrity', 'ensemble cast', 'party', 'rapture']",R,Fantasy
Bo Welch,109000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Sean Hayes,The Cat in the Hat ,"['based on cult comic book', 'cat', 'home alone', 'imagination', 'talking cat']",PG,Adventure
Nancy Meyers,70000000.0,"['Comedy', 'Fantasy', 'Romance']",Judy Greer,What Women Want ,"['advertising', 'battle of the sexes', 'ex husband ex wife relationship', 'pantyhose', 'telepathy']",PG-13,Romance
Ang Lee,30000000.0,"['Comedy', 'Drama', 'Music']",Imelda Staunton,Taking Woodstock ,"['female full frontal nudity', 'female nudity', 'male frontal nudity', 'male full frontal nudity', 'male nudity']",R,Drama
Paul Verhoeven,45000000.0,['Drama'],Bobbie Phillips,Showgirls ,"['cult film', 'lap dance', 'lap dancing', 'stripper', 'striptease']",NC-17,Drama
Wilson Yip,36000000.0,"['Action', 'Biography', 'Drama', 'History']",Mike Tyson,Ip Man 3 ,"['1950s', 'cancer', 'hong kong', 'martial arts school', 'wing chun']",PG-13,Drama
Simon West,35000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Nicolas Cage,Stolen ,"['bank', 'money', 'presumed dead', 'rescue', 'thief']",R,Drama
Andrew Davis,44000000.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",Harrison Ford,The Fugitive ,"['hospital', 'on the run', 'one armed man', 'surgeon', 'u.s. marshal']",PG-13,Action
Pat O'Connor,40000000.0,"['Drama', 'Romance']",Keanu Reeves,Sweet November ,"['advertising', 'cancer', 'dog', 'san francisco california', 'terminal illness']",PG-13,Romance
Tim Story,40000000.0,"['Action', 'Comedy']",Olivia Munn,Ride Along 2 ,"['computer hacker', 'crime boss', 'detective', 'drugs', 'wedding']",PG-13,Comedy
Brett Ratner,210000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Hugh Jackman,X-Men: The Last Stand ,"['battle', 'mutant', 'outrage', 'walking through a wall', 'x men']",PG-13,Action
Warren Beatty,30000000.0,"['Comedy', 'Drama', 'Romance']",Warren Beatty,Bulworth ,"['hip hop', 'liberal', 'politics', 'senator', 'truth']",R,Romance
Randall Wallace,35000000.0,"['Action', 'Adventure']",Leonardo DiCaprio,The Man in the Iron Mask ,"['france', 'musketeer', 'three musketeers', 'twin', 'twin brother']",PG-13,Adventure
Paul McGuigan,40000000.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",Daniel Radcliffe,Victor Frankenstein ,"['assistant', 'experiment', 'frankenstein', 'medical student', 'scientist']",PG-13,Thriller
Ron Howard,123000000.0,"['Comedy', 'Family', 'Fantasy']",Clint Howard,How the Grinch Stole Christmas ,"['box office hit', 'christmas', 'materialism', 'public humiliation', 'snowflake']",PG,Comedy
Eric Leighton,127500000.0,"['Adventure', 'Animation', 'Family', 'Thriller']",Alfre Woodard,Dinosaur ,"['egg', 'iguanodon', 'lemur', 'meteor', 'nesting grounds']",PG,Family
Richard Curtis,45000000.0,"['Comedy', 'Drama', 'Romance']",Colin Firth,Love Actually ,"['aging rocker', 'christmas', 'love at first sight', 'minister', 'prime minister']",R,Romance
Taylor Hackford,57000000.0,"['Drama', 'Mystery', 'Thriller']",Keanu Reeves,The Devil's Advocate ,"['deal with the devil', 'lawyer', 'money', 'reality', 'supernatural power']",R,Mystery
Rich Moore,165000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Jack McBrayer,Wreck-It Ralph ,"['arcade', 'candy', 'glitch', 'king', 'medal']",PG,Comedy
Wally Pfister,100000000.0,"['Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",Johnny Depp,Transcendence ,"['artificial intelligence', 'consciousness', 'power outage', 'scientist', 'technology']",PG-13,Sci-Fi
Rupert Wyatt,93000000.0,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",James Franco,Rise of the Planet of the Apes ,"[""alzheimer's disease"", 'ape', 'chimpanzee', 'fire', 'when animals attack']",PG-13,Action
