director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,all_keywords
Bryan Singer,209000000.0,"['Action', 'Adventure', 'Sci-Fi']",Kevin Spacey,Superman Returns ,"['Bryan Singer', 'Kevin Spacey', 'crystal', 'epic', 'lex luthor', 'lois lane', 'return to earth']",PG-13,Sci-Fi,"['Bryan Singer', 'Kevin Spacey', 'crystal', 'epic', 'lex luthor', 'lois lane', 'return to earth']"
Marc Forster,200000000.0,"['Action', 'Adventure']",Giancarlo Giannini,Quantum of Solace ,"['Marc Forster', 'Giancarlo Giannini', 'action hero', 'attempted rape', 'bond girl', 'official james bond series', 'revenge']",PG-13,Action-Comedy,"['Marc Forster', 'Giancarlo Giannini', 'action hero', 'attempted rape', 'bond girl', 'official james bond series', 'revenge']"
Gore Verbinski,225000000.0,"['Action', 'Adventure', 'Fantasy']",Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,"['Gore Verbinski', 'Johnny Depp', 'box office hit', 'giant squid', 'heart', ""liar's dice"", 'monster']",PG-13,Action-Comedy,"['Gore Verbinski', 'Johnny Depp', 'box office hit', 'giant squid', 'heart', ""liar's dice"", 'monster']"
Gore Verbinski,215000000.0,"['Action', 'Adventure', 'Western']",Johnny Depp,The Lone Ranger ,"['Gore Verbinski', 'Johnny Depp', 'horse', 'outlaw', 'texas', 'texas ranger', 'train']",PG-13,Western,"['Gore Verbinski', 'Johnny Depp', 'horse', 'outlaw', 'texas', 'texas ranger', 'train']"
Zack Snyder,225000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Henry Cavill,Man of Steel ,"['Zack Snyder', 'Henry Cavill', 'based on comic book', 'british actor playing american character', 'final battle', 'origin of hero', 'reboot']",PG-13,Sci-Fi,"['Zack Snyder', 'Henry Cavill', 'based on comic book', 'british actor playing american character', 'final battle', 'origin of hero', 'reboot']"
Andrew Adamson,225000000.0,"['Action', 'Adventure', 'Family', 'Fantasy']",Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,"['Andrew Adamson', 'Peter Dinklage', 'brother brother relationship', 'brother sister relationship', 'good versus evil', 'king', 'narnia']",PG,Family,"['Andrew Adamson', 'Peter Dinklage', 'brother brother relationship', 'brother sister relationship', 'good versus evil', 'king', 'narnia']"
Joss Whedon,220000000.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,The Avengers ,"['Joss Whedon', 'Chris Hemsworth', 'alien invasion', 'assassin', 'battle', 'iron man', 'soldier']",PG-13,Sci-Fi,"['Joss Whedon', 'Chris Hemsworth', 'alien invasion', 'assassin', 'battle', 'iron man', 'soldier']"
Rob Marshall,250000000.0,"['Action', 'Adventure', 'Fantasy']",Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,"['Rob Marshall', 'Johnny Depp', 'blackbeard', 'captain', 'pirate', 'revenge', 'soldier']",PG-13,Action-Comedy,"['Rob Marshall', 'Johnny Depp', 'blackbeard', 'captain', 'pirate', 'revenge', 'soldier']"
Barry Sonnenfeld,225000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Will Smith,Men in Black 3 ,"['Barry Sonnenfeld', 'Will Smith', 'alien', 'criminal', 'm.i.b.', 'maximum security prison', 'prison']",PG-13,Family,"['Barry Sonnenfeld', 'Will Smith', 'alien', 'criminal', 'm.i.b.', 'maximum security prison', 'prison']"
Peter Jackson,250000000.0,"['Adventure', 'Fantasy']",Aidan Turner,The Hobbit: The Battle of the Five Armies ,"['Peter Jackson', 'Aidan Turner', 'army', 'elf', 'hobbit', 'middle earth', 'orc']",PG-13,Adventure,"['Peter Jackson', 'Aidan Turner', 'army', 'elf', 'hobbit', 'middle earth', 'orc']"
Marc Webb,230000000.0,"['Action', 'Adventure', 'Fantasy']",Emma Stone,The Amazing Spider-Man ,"['Marc Webb', 'Emma Stone', 'lizard', 'outcast', 'spider', 'spider man', 'teenager']",PG-13,Action-Comedy,"['Marc Webb', 'Emma Stone', 'lizard', 'outcast', 'spider', 'spider man', 'teenager']"
Ridley Scott,200000000.0,"['Action', 'Adventure', 'Drama', 'History']",Mark Addy,Robin Hood ,"['Ridley Scott', 'Mark Addy', '1190s', 'archer', 'england', 'king of england', 'robin hood']",PG-13,History,"['Ridley Scott', 'Mark Addy', '1190s', 'archer', 'england', 'king of england', 'robin hood']"
Peter Jackson,225000000.0,"['Adventure', 'Fantasy']",Aidan Turner,The Hobbit: The Desolation of Smaug ,"['Peter Jackson', 'Aidan Turner', 'dwarf', 'elf', 'lake town', 'mountain', 'sword and sorcery']",PG-13,Adventure,"['Peter Jackson', 'Aidan Turner', 'dwarf', 'elf', 'lake town', 'mountain', 'sword and sorcery']"
Chris Weitz,180000000.0,"['Adventure', 'Family', 'Fantasy']",Christopher Lee,The Golden Compass ,"['Chris Weitz', 'Christopher Lee', 'children', 'epic', 'friend', 'girl', 'quest']",PG-13,Family,"['Chris Weitz', 'Christopher Lee', 'children', 'epic', 'friend', 'girl', 'quest']"
Peter Jackson,207000000.0,"['Action', 'Adventure', 'Drama', 'Romance']",Naomi Watts,King Kong ,"['Peter Jackson', 'Naomi Watts', 'animal name in title', 'ape abducts a woman', 'gorilla', 'island', 'king kong']",PG-13,Action-Comedy,"['Peter Jackson', 'Naomi Watts', 'animal name in title', 'ape abducts a woman', 'gorilla', 'island', 'king kong']"
James Cameron,200000000.0,"['Drama', 'Romance']",Leonardo DiCaprio,Titanic ,"['James Cameron', 'Leonardo DiCaprio', 'artist', 'love', 'ship', 'titanic', 'wet']",PG-13,Drama,"['James Cameron', 'Leonardo DiCaprio', 'artist', 'love', 'ship', 'titanic', 'wet']"
Anthony Russo,250000000.0,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,Captain America: Civil War ,"['Anthony Russo', 'Robert Downey Jr.', 'based on comic book', 'knife', 'marvel cinematic universe', 'returning character killed off', 'superhero']",PG-13,Sci-Fi,"['Anthony Russo', 'Robert Downey Jr.', 'based on comic book', 'knife', 'marvel cinematic universe', 'returning character killed off', 'superhero']"
Peter Berg,209000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Liam Neeson,Battleship ,"['Peter Berg', 'Liam Neeson', 'box office flop', 'hawaii', 'naval', 'oahu hawaii', 'ship']",PG-13,Sci-Fi,"['Peter Berg', 'Liam Neeson', 'box office flop', 'hawaii', 'naval', 'oahu hawaii', 'ship']"
Colin Trevorrow,150000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Bryce Dallas Howard,Jurassic World ,"['Colin Trevorrow', 'Bryce Dallas Howard', 'dinosaur', 'disaster film', 'experiment gone wrong', 'jurassic park', 'velociraptor']",PG-13,Sci-Fi,"['Colin Trevorrow', 'Bryce Dallas Howard', 'dinosaur', 'disaster film', 'experiment gone wrong', 'jurassic park', 'velociraptor']"
Sam Mendes,200000000.0,"['Action', 'Adventure', 'Thriller']",Albert Finney,Skyfall ,"['Sam Mendes', 'Albert Finney', 'brawl', 'childhood home', 'computer cracker', 'intelligence agency', 'terrorist cell']",PG-13,Action-Comedy,"['Sam Mendes', 'Albert Finney', 'brawl', 'childhood home', 'computer cracker', 'intelligence agency', 'terrorist cell']"
Sam Raimi,200000000.0,"['Action', 'Adventure', 'Fantasy', 'Romance']",J.K. Simmons,Spider-Man 2 ,"['Sam Raimi', 'J.K. Simmons', 'death', 'doctor', 'scientist', 'super villain', 'tentacle']",PG-13,Action-Comedy,"['Sam Raimi', 'J.K. Simmons', 'death', 'doctor', 'scientist', 'super villain', 'tentacle']"
Shane Black,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,Iron Man 3 ,"['Shane Black', 'Robert Downey Jr.', 'armor', 'explosion', 'human bomb', 'missile attack', 'terrorist']",PG-13,Sci-Fi,"['Shane Black', 'Robert Downey Jr.', 'armor', 'explosion', 'human bomb', 'missile attack', 'terrorist']"
Tim Burton,200000000.0,"['Adventure', 'Family', 'Fantasy']",Johnny Depp,Alice in Wonderland ,"['Tim Burton', 'Johnny Depp', 'alice in wonderland', 'mistaking reality for dream', 'queen', 'shrinking', 'shrinking potion']",PG,Family,"['Tim Burton', 'Johnny Depp', 'alice in wonderland', 'mistaking reality for dream', 'queen', 'shrinking', 'shrinking potion']"
Brett Ratner,210000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Hugh Jackman,X-Men: The Last Stand ,"['Brett Ratner', 'Hugh Jackman', 'battle', 'mutant', 'outrage', 'walking through a wall', 'x men']",PG-13,Sci-Fi,"['Brett Ratner', 'Hugh Jackman', 'battle', 'mutant', 'outrage', 'walking through a wall', 'x men']"
Dan Scanlon,200000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Steve Buscemi,Monsters University ,"['Dan Scanlon', 'Steve Buscemi', 'cheating', 'fraternity', 'monster', 'singing in a car', 'university']",G,Animation,"['Dan Scanlon', 'Steve Buscemi', 'cheating', 'fraternity', 'monster', 'singing in a car', 'university']"
Michael Bay,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Glenn Morshower,Transformers: Revenge of the Fallen ,"['Michael Bay', 'Glenn Morshower', 'autobot', 'decepticon', 'machine', 'sun', 'symbol']",PG-13,Sci-Fi,"['Michael Bay', 'Glenn Morshower', 'autobot', 'decepticon', 'machine', 'sun', 'symbol']"
Michael Bay,210000000.0,"['Action', 'Adventure', 'Sci-Fi']",Bingbing Li,Transformers: Age of Extinction ,"['Michael Bay', 'Bingbing Li', 'blockbuster', 'bumblebee the character', 'semi truck and trailer', 'texas', 'truck']",PG-13,Sci-Fi,"['Michael Bay', 'Bingbing Li', 'blockbuster', 'bumblebee the character', 'semi truck and trailer', 'texas', 'truck']"
Sam Raimi,215000000.0,"['Adventure', 'Family', 'Fantasy']",Tim Holmes,Oz the Great and Powerful ,"['Sam Raimi', 'Tim Holmes', 'circus', 'magic', 'magician', 'oz', 'witch']",PG,Family,"['Sam Raimi', 'Tim Holmes', 'circus', 'magic', 'magician', 'oz', 'witch']"
Marc Webb,200000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Emma Stone,The Amazing Spider-Man 2 ,"['Marc Webb', 'Emma Stone', 'costumed hero', 'death of girlfriend', 'masked vigilante', 'returning character killed off', 'teenager']",PG-13,Sci-Fi,"['Marc Webb', 'Emma Stone', 'costumed hero', 'death of girlfriend', 'masked vigilante', 'returning character killed off', 'teenager']"
Joseph Kosinski,170000000.0,"['Action', 'Adventure', 'Sci-Fi']",Jeff Bridges,TRON: Legacy ,"['Joseph Kosinski', 'Jeff Bridges', 'arcade', 'bridge', 'disappearance', 'escape', 'warrior']",PG,Sci-Fi,"['Joseph Kosinski', 'Jeff Bridges', 'arcade', 'bridge', 'disappearance', 'escape', 'warrior']"
John Lasseter,200000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",Joe Mantegna,Cars 2 ,"['John Lasseter', 'Joe Mantegna', 'best friend', 'car race', 'conspiracy', 'gadget car', 'spy']",G,Sport,"['John Lasseter', 'Joe Mantegna', 'best friend', 'car race', 'conspiracy', 'gadget car', 'spy']"
Martin Campbell,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Ryan Reynolds,Green Lantern ,"['Martin Campbell', 'Ryan Reynolds', 'autopsy', 'lantern', 'planet', 'ring', 'test pilot']",PG-13,Sci-Fi,"['Martin Campbell', 'Ryan Reynolds', 'autopsy', 'lantern', 'planet', 'ring', 'test pilot']"
Lee Unkrich,200000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Tom Hanks,Toy Story 3 ,"['Lee Unkrich', 'Tom Hanks', 'college', 'day care', 'escape', 'teddy bear', 'toy']",G,Animation,"['Lee Unkrich', 'Tom Hanks', 'college', 'day care', 'escape', 'teddy bear', 'toy']"
McG,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Christian Bale,Terminator Salvation ,"['McG', 'Christian Bale', 'death row', 'future', 'machine', 'rescue', 'skynet']",PG-13,Sci-Fi,"['McG', 'Christian Bale', 'death row', 'future', 'machine', 'rescue', 'skynet']"
James Wan,190000000.0,"['Action', 'Crime', 'Thriller']",Jason Statham,Furious 7 ,"['James Wan', 'Jason Statham', 'car falling off a cliff', 'hospital', 'revenge', 'star died before release', 'terrorist']",PG-13,Action-Comedy,"['James Wan', 'Jason Statham', 'car falling off a cliff', 'hospital', 'revenge', 'star died before release', 'terrorist']"
Marc Forster,190000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",Peter Capaldi,World War Z ,"['Marc Forster', 'Peter Capaldi', 'chaos', 'disease', 'infection', 'pandemic', 'zombie']",PG-13,Horror,"['Marc Forster', 'Peter Capaldi', 'chaos', 'disease', 'infection', 'pandemic', 'zombie']"
Bryan Singer,200000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Jennifer Lawrence,X-Men: Days of Future Past ,"['Bryan Singer', 'Jennifer Lawrence', 'dystopia', 'super strength', 'supernatural power', 'time paradox', 'time travel']",PG-13,Sci-Fi,"['Bryan Singer', 'Jennifer Lawrence', 'dystopia', 'super strength', 'supernatural power', 'time paradox', 'time travel']"
J.J. Abrams,190000000.0,"['Action', 'Adventure', 'Sci-Fi']",Benedict Cumberbatch,Star Trek Into Darkness ,"['J.J. Abrams', 'Benedict Cumberbatch', 'admiral', 'captain', 'manhunt', 'mission', 'space']",PG-13,Sci-Fi,"['J.J. Abrams', 'Benedict Cumberbatch', 'admiral', 'captain', 'manhunt', 'mission', 'space']"
Bryan Singer,195000000.0,"['Adventure', 'Fantasy']",Eddie Marsan,Jack the Giant Slayer ,"['Bryan Singer', 'Eddie Marsan', 'bean', 'giant', 'king', 'no opening credits', 'princess']",PG-13,Adventure,"['Bryan Singer', 'Eddie Marsan', 'bean', 'giant', 'king', 'no opening credits', 'princess']"
Baz Luhrmann,105000000.0,"['Drama', 'Romance']",Leonardo DiCaprio,The Great Gatsby ,"['Baz Luhrmann', 'Leonardo DiCaprio', 'ingratitude', 'mansion', 'party', 'title appears in writing', 'tragedy']",PG-13,Drama,"['Baz Luhrmann', 'Leonardo DiCaprio', 'ingratitude', 'mansion', 'party', 'title appears in writing', 'tragedy']"
Mike Newell,200000000.0,"['Action', 'Adventure', 'Fantasy', 'Romance']",Jake Gyllenhaal,Prince of Persia: The Sands of Time ,"['Mike Newell', 'Jake Gyllenhaal', 'alamut', 'dagger', 'king', 'persia', 'princess']",PG-13,Action-Comedy,"['Mike Newell', 'Jake Gyllenhaal', 'alamut', 'dagger', 'king', 'persia', 'princess']"
Guillermo del Toro,190000000.0,"['Action', 'Adventure', 'Sci-Fi']",Charlie Hunnam,Pacific Rim ,"['Guillermo del Toro', 'Charlie Hunnam', 'giant monster', 'kaiju', 'pilot', 'portal', 'robot']",PG-13,Sci-Fi,"['Guillermo del Toro', 'Charlie Hunnam', 'giant monster', 'kaiju', 'pilot', 'portal', 'robot']"
Michael Bay,195000000.0,"['Action', 'Adventure', 'Sci-Fi']",Glenn Morshower,Transformers: Dark of the Moon ,"['Michael Bay', 'Glenn Morshower', 'autobot', 'decepticon', 'job interview', 'moon', 'spacecraft']",PG-13,Sci-Fi,"['Michael Bay', 'Glenn Morshower', 'autobot', 'decepticon', 'job interview', 'moon', 'spacecraft']"
Steven Spielberg,185000000.0,"['Action', 'Adventure', 'Fantasy']",Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,"['Steven Spielberg', 'Harrison Ford', 'cult figure', 'femme fatale', 'indiana jones', 'unsubtitled foreign language', 'year 1957']",PG-13,Action-Comedy,"['Steven Spielberg', 'Harrison Ford', 'cult figure', 'femme fatale', 'indiana jones', 'unsubtitled foreign language', 'year 1957']"
Peter Sohn,,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",A.J. Buckley,The Good Dinosaur ,"['Peter Sohn', 'A.J. Buckley', 'apatosaurus', 'asteroid', 'dinosaur', 'fear', 'river']",PG,Animation,"['Peter Sohn', 'A.J. Buckley', 'apatosaurus', 'asteroid', 'dinosaur', 'fear', 'river']"
Mark Andrews,185000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Kelly Macdonald,Brave ,"['Mark Andrews', 'Kelly Macdonald', 'archery', 'coming of age', 'female warrior', 'princess', 'rebellious daughter']",PG,Animation,"['Mark Andrews', 'Kelly Macdonald', 'archery', 'coming of age', 'female warrior', 'princess', 'rebellious daughter']"
Justin Lin,185000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Sofia Boutella,Star Trek Beyond ,"['Justin Lin', 'Sofia Boutella', 'hatred', 'sequel', 'space opera', 'star trek', 'third part']",PG-13,Sci-Fi,"['Justin Lin', 'Sofia Boutella', 'hatred', 'sequel', 'space opera', 'star trek', 'third part']"
Andrew Stanton,180000000.0,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",John Ratzenberger,WALL·E ,"['Andrew Stanton', 'John Ratzenberger', 'earth', 'obesity', 'plant', 'robot', 'soil']",G,Animation,"['Andrew Stanton', 'John Ratzenberger', 'earth', 'obesity', 'plant', 'robot', 'soil']"
Brett Ratner,140000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Tzi Ma,Rush Hour 3 ,"['Brett Ratner', 'Tzi Ma', 'ambassador', 'assassination', 'chinese', 'french', 'triad']",PG-13,Rom-Com,"['Brett Ratner', 'Tzi Ma', 'ambassador', 'assassination', 'chinese', 'french', 'triad']"
Roland Emmerich,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Oliver Platt,2012 ,"['Roland Emmerich', 'Oliver Platt', 'ark', 'catastrophe', 'geologist', 'president', 'writer']",PG-13,Sci-Fi,"['Roland Emmerich', 'Oliver Platt', 'ark', 'catastrophe', 'geologist', 'president', 'writer']"
Robert Zemeckis,200000000.0,"['Animation', 'Drama', 'Family', 'Fantasy']",Robin Wright,A Christmas Carol ,"['Robert Zemeckis', 'Robin Wright', 'charles dickens', 'christmas', 'christmas eve', 'ghost', 'scrooge']",PG,Animation,"['Robert Zemeckis', 'Robin Wright', 'charles dickens', 'christmas', 'christmas eve', 'ghost', 'scrooge']"
Lana Wachowski,176000000.0,"['Action', 'Adventure', 'Sci-Fi']",Channing Tatum,Jupiter Ascending ,"['Lana Wachowski', 'Channing Tatum', 'box office flop', 'critically bashed', 'planet earth', 'space opera', 'woman in bra and panties']",PG-13,Sci-Fi,"['Lana Wachowski', 'Channing Tatum', 'box office flop', 'critically bashed', 'planet earth', 'space opera', 'woman in bra and panties']"
David Yates,180000000.0,"['Action', 'Adventure', 'Drama', 'Romance']",Christoph Waltz,The Legend of Tarzan ,"['David Yates', 'Christoph Waltz', 'africa', 'capture', 'jungle', 'male objectification', 'tarzan']",PG-13,Action-Comedy,"['David Yates', 'Christoph Waltz', 'africa', 'capture', 'jungle', 'male objectification', 'tarzan']"
Andrew Adamson,180000000.0,"['Adventure', 'Family', 'Fantasy']",Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","['Andrew Adamson', 'Jim Broadbent', 'hide and seek', 'lion', 'magic', 'professor', 'snow']",PG,Family,"['Andrew Adamson', 'Jim Broadbent', 'hide and seek', 'lion', 'magic', 'professor', 'snow']"
Bryan Singer,178000000.0,"['Action', 'Adventure', 'Sci-Fi']",Jennifer Lawrence,X-Men: Apocalypse ,"['Bryan Singer', 'Jennifer Lawrence', 'mutant', 'superhero', 'superhero team', 'x men', 'year 1983']",PG-13,Sci-Fi,"['Bryan Singer', 'Jennifer Lawrence', 'mutant', 'superhero', 'superhero team', 'x men', 'year 1983']"
Christopher Nolan,185000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Christian Bale,The Dark Knight ,"['Christopher Nolan', 'Christian Bale', 'based on comic book', 'dc comics', 'psychopath', 'star died before release', 'urban setting']",PG-13,Action-Comedy,"['Christopher Nolan', 'Christian Bale', 'based on comic book', 'dc comics', 'psychopath', 'star died before release', 'urban setting']"
Pete Docter,175000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",John Ratzenberger,Up ,"['Pete Docter', 'John Ratzenberger', 'balloon', 'house', 'promise', 'retirement', 'skeleton']",PG,Animation,"['Pete Docter', 'John Ratzenberger', 'balloon', 'house', 'promise', 'retirement', 'skeleton']"
Rob Letterman,175000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Amy Poehler,Monsters vs. Aliens ,"['Rob Letterman', 'Amy Poehler', 'alien', 'alien invasion', 'alien space craft', 'giant', 'giantess']",PG,Animation,"['Rob Letterman', 'Amy Poehler', 'alien', 'alien invasion', 'alien space craft', 'giant', 'giantess']"
Jon Favreau,140000000.0,"['Action', 'Adventure', 'Sci-Fi']",Robert Downey Jr.,Iron Man ,"['Jon Favreau', 'Robert Downey Jr.', 'afghanistan', 'billionaire', 'inventor', 'playboy', 'u.s. air force']",PG-13,Sci-Fi,"['Jon Favreau', 'Robert Downey Jr.', 'afghanistan', 'billionaire', 'inventor', 'playboy', 'u.s. air force']"
Martin Scorsese,170000000.0,"['Adventure', 'Drama', 'Family', 'Mystery']",Chloë Grace Moretz,Hugo ,"['Martin Scorsese', 'Chlo\xc3\xab Grace Moretz', 'automaton', 'mechanical', 'railway station', 'steampunk', 'train']",PG,Family,"['Martin Scorsese', 'Chlo\xc3\xab Grace Moretz', 'automaton', 'mechanical', 'railway station', 'steampunk', 'train']"
Barry Sonnenfeld,170000000.0,"['Action', 'Comedy', 'Sci-Fi', 'Western']",Will Smith,Wild Wild West ,"['Barry Sonnenfeld', 'Will Smith', 'buddy movie', 'general', 'inventor', 'steampunk', 'utah']",PG-13,Western,"['Barry Sonnenfeld', 'Will Smith', 'buddy movie', 'general', 'inventor', 'steampunk', 'utah']"
Rob Cohen,145000000.0,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller']",Jet Li,The Mummy: Tomb of the Dragon Emperor ,"['Rob Cohen', 'Jet Li', 'army', 'china', 'emperor', 'mummy', 'shangri la']",PG-13,Horror,"['Rob Cohen', 'Jet Li', 'army', 'china', 'emperor', 'mummy', 'shangri la']"
David Ayer,175000000.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",Will Smith,Suicide Squad ,"['David Ayer', 'Will Smith', 'based on comic book', 'critically bashed', 'father daughter relationship', 'reference to superman', 'super villain']",PG-13,Sci-Fi,"['David Ayer', 'Will Smith', 'based on comic book', 'critically bashed', 'father daughter relationship', 'reference to superman', 'super villain']"
Tom Shadyac,175000000.0,"['Comedy', 'Family', 'Fantasy']",Jimmy Bennett,Evan Almighty ,"['Tom Shadyac', 'Jimmy Bennett', 'ark', 'change', 'congressman', 'depiction of god', 'flood']",PG,Family,"['Tom Shadyac', 'Jimmy Bennett', 'ark', 'change', 'congressman', 'depiction of god', 'flood']"
Doug Liman,178000000.0,"['Action', 'Adventure', 'Sci-Fi']",Tom Cruise,Edge of Tomorrow ,"['Doug Liman', 'Tom Cruise', 'alien', 'combat', 'dying repeatedly', 'end of the world', 'time loop']",PG-13,Sci-Fi,"['Doug Liman', 'Tom Cruise', 'alien', 'combat', 'dying repeatedly', 'end of the world', 'time loop']"
Kevin Reynolds,175000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Jeanne Tripplehorn,Waterworld ,"['Kevin Reynolds', 'Jeanne Tripplehorn', 'future', 'sail', 'sea', 'smoker', 'water']",PG-13,Sci-Fi,"['Kevin Reynolds', 'Jeanne Tripplehorn', 'future', 'sail', 'sea', 'smoker', 'water']"
Stephen Sommers,175000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,"['Stephen Sommers', 'Joseph Gordon-Levitt', 'cobra', 'gi joe', 'snake', 'train', 'warhead']",PG-13,Sci-Fi,"['Stephen Sommers', 'Joseph Gordon-Levitt', 'cobra', 'gi joe', 'snake', 'train', 'warhead']"
