director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,log_budget,all_keywords
Seth Gordon,80000000.0,"['Comedy', 'Drama', 'Romance']",Jon Favreau,Four Christmases ,"['airport', 'christmas', 'news broadcast', 'tv broadcast', 'tv news']",PG-13,Rom-Com,18.1975371926,"['Seth Gordon', 'Jon Favreau', 'airport', 'christmas', 'news', 'broadcast', 'tv', 'broadcast', 'tv', 'news']"
Don Hall,165000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",Damon Wayans Jr.,Big Hero 6 ,"['high tech', 'martial arts', 'masked man', 'robot', 'superhero']",PG,Animation,18.9214560319,"['Don Hall', 'Damon Wayans Jr.', 'high', 'tech', 'martial', 'arts', 'masked', 'man', 'robot', 'superhero']"
Anthony Minghella,27000000.0,"['Drama', 'Romance', 'War']",Colin Firth,The English Patient ,"['church', 'english', 'flashback', 'nurse', 'patient']",R,War,17.111347424,"['Anthony Minghella', 'Colin Firth', 'church', 'english', 'flashback', 'nurse', 'patient']"
Tom McGrath,130000000.0,"['Action', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",J.K. Simmons,Megamind ,"['battle', 'city', 'planet', 'prison', 'superhero']",PG,Animation,18.6830450084,"['Tom McGrath', 'J.K. Simmons', 'battle', 'city', 'planet', 'prison', 'superhero']"
Jonathan Mostow,80000000.0,"['Action', 'Sci-Fi', 'Thriller']",Bruce Willis,Surrogates ,"['android', 'fbi agent', 'future', 'murder', 'robot']",PG-13,Sci-Fi,18.1975371926,"['Jonathan Mostow', 'Bruce Willis', 'android', 'fbi', 'agent', 'future', 'murder', 'robot']"
Gary Chapman,35000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'War']",Jim Broadbent,Valiant ,"['dove', 'falcon', 'nursing', 'pigeon', 'psychological torture']",G,War,17.3708586195,"['Gary Chapman', 'Jim Broadbent', 'dove', 'falcon', 'nursing', 'pigeon', 'psychological', 'torture']"
Tony Scott,92000000.0,"['Action', 'Crime', 'Thriller']",Brad Pitt,Spy Game ,"['china', 'cia', 'cold war', 'friendship', 'retirement']",R,Action-Comedy,18.337299135,"['Tony Scott', 'Brad Pitt', 'china', 'cia', 'cold', 'war', 'friendship', 'retirement']"
Alejandro Amenábar,70000000.0,"['Adventure', 'Drama', 'History', 'Romance']",Max Minghella,Agora ,"['christian', 'love', 'philosophy', 'prefect', 'slave']",R,History,18.0640058,"['Alejandro Amen\xc3\xa1bar', 'Max Minghella', 'christian', 'love', 'philosophy', 'prefect', 'slave']"
Paul Feig,144000000.0,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",Ed Begley Jr.,Ghostbusters ,"['ghost', 'ghostbuster', 'ghostbusters', 'male objectification', 'reboot']",PG-13,Sci-Fi,18.7853238575,"['Paul Feig', 'Ed Begley Jr.', 'ghost', 'ghostbuster', 'ghostbusters', 'male', 'objectification', 'reboot']"
David R. Ellis,33000000.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Lin Shaye,Snakes on a Plane ,"['baby rattle', 'famous line', 'murder', 'passenger', 'snake']",R,Action-Comedy,17.3120181194,"['David R. Ellis', 'Lin Shaye', 'baby', 'rattle', 'famous', 'line', 'murder', 'passenger', 'snake']"
Frank Marshall,31000000.0,"['Comedy', 'Fantasy', 'Horror', 'Thriller']",Julian Sands,Arachnophobia ,"['arachnophobia', 'death', 'doctor', 'small town', 'spider']",PG-13,Horror,17.2494977624,"['Frank Marshall', 'Julian Sands', 'arachnophobia', 'death', 'doctor', 'small', 'town', 'spider']"
Babak Najafi,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Gerard Butler,London Has Fallen ,"['british', 'funeral', 'good versus evil', 'mole', 'sequel']",R,Action-Comedy,17.9098551202,"['Babak Najafi', 'Gerard Butler', 'british', 'funeral', 'good', 'versus', 'evil', 'mole', 'sequel']"
Carlos Saldanha,80000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Denis Leary,Ice Age: The Meltdown ,"['flood', 'mammoth', 'no opening credits', 'squirrel', 'valley']",PG,Animation,18.1975371926,"['Carlos Saldanha', 'Denis Leary', 'flood', 'mammoth', 'no', 'opening', 'credits', 'squirrel', 'valley']"
Justin Zackham,35000000.0,['Comedy'],Robin Williams,The Big Wedding ,"['adoption', 'divorce', 'family relationships', 'farce', 'wedding']",R,Comedy,17.3708586195,"['Justin Zackham', 'Robin Williams', 'adoption', 'divorce', 'family', 'relationships', 'farce', 'wedding']"
Jon Amiel,66000000.0,"['Action', 'Crime', 'Romance', 'Thriller']",Will Patton,Entrapment ,"['art thief', 'insurance', 'mask', 'master thief', 'reference to iron maiden']",PG-13,Action-Comedy,18.0051653,"['Jon Amiel', 'Will Patton', 'art', 'thief', 'insurance', 'mask', 'master', 'thief', 'reference', 'to', 'iron', 'maiden']"
Wes Anderson,21000000.0,"['Comedy', 'Drama']",Bill Murray,The Royal Tenenbaums ,"['brother brother relationship', 'family relationships', 'father daughter relationship', 'genius', 'thrown through a window']",R,Rom-Com,16.8600329957,"['Wes Anderson', 'Bill Murray', 'brother', 'brother', 'relationship', 'family', 'relationships', 'father', 'daughter', 'relationship', 'genius', 'thrown', 'through', 'a', 'window']"
Rob Minkoff,90000000.0,"['Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']",Marsha Thomason,The Haunted Mansion ,"['arachnophobia', 'crystal ball', 'ghost', 'haunted house', 'thunderstorm']",PG,Horror,18.3153202283,"['Rob Minkoff', 'Marsha Thomason', 'arachnophobia', 'crystal', 'ball', 'ghost', 'haunted', 'house', 'thunderstorm']"
Peter Hewitt,29000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Jim Broadbent,The Borrowers ,"[""child's point of view"", 'house', 'lawyer', 'real estate', 'washing machine']",PG,Family,17.182806388,"['Peter Hewitt', 'Jim Broadbent', 'child', 's', 'point', 'of', 'view', 'house', 'lawyer', 'real', 'estate', 'washing', 'machine']"
Ken Kwapis,35000000.0,"['Comedy', 'Romance']",Robin Williams,License to Wed ,"['box office flop', 'church', 'kissing', 'usa', 'wedding']",PG-13,Rom-Com,17.3708586195,"['Ken Kwapis', 'Robin Williams', 'box', 'office', 'flop', 'church', 'kissing', 'usa', 'wedding']"
Garry Marshall,52000000.0,"['Comedy', 'Romance']",Bradley Cooper,Valentine's Day ,"['flower', 'indian restaurant', 'tv station', 'valentine', ""valentine's day""]",PG-13,Rom-Com,17.7667542765,"['Garry Marshall', 'Bradley Cooper', 'flower', 'indian', 'restaurant', 'tv', 'station', 'valentine', 'valentine', 's', 'day']"
Josh Gordon,61000000.0,"['Comedy', 'Sport']",Will Ferrell,Blades of Glory ,"['competition', 'fight', 'ice', 'jock strap', 'nintendo game boy advance']",PG-13,Sport,17.9263844221,"['Josh Gordon', 'Will Ferrell', 'competition', 'fight', 'ice', 'jock', 'strap', 'nintendo', 'game', 'boy', 'advance']"
Richard LaGravenese,30000000.0,"['Drama', 'Romance']",Gerard Butler,P.S. I Love You ,"['birthday', 'friendship', 'hairy chest', 'letter', 'widow']",PG-13,Drama,17.2167079396,"['Richard LaGravenese', 'Gerard Butler', 'birthday', 'friendship', 'hairy', 'chest', 'letter', 'widow']"
John Pasquin,45000000.0,"['Action', 'Comedy', 'Crime']",Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,"['bodyguard', 'fbi', 'fbi agent', 'female protagonist', 'undercover']",PG-13,Rom-Com,17.6221730477,"['John Pasquin', 'Eileen Brennan', 'bodyguard', 'fbi', 'fbi', 'agent', 'female', 'protagonist', 'undercover']"
Roland Emmerich,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Oliver Platt,2012 ,"['ark', 'catastrophe', 'geologist', 'president', 'writer']",PG-13,Sci-Fi,19.1138279245,"['Roland Emmerich', 'Oliver Platt', 'ark', 'catastrophe', 'geologist', 'president', 'writer']"
Gary Ross,78000000.0,"['Adventure', 'Drama', 'Sci-Fi', 'Thriller']",Jennifer Lawrence,The Hunger Games ,"['fight to the death', 'game', 'massacre', 'self survival', 'suicide attempt']",PG-13,Sci-Fi,18.1722193847,"['Gary Ross', 'Jennifer Lawrence', 'fight', 'to', 'the', 'death', 'game', 'massacre', 'self', 'survival', 'suicide', 'attempt']"
Paul W.S. Anderson,60000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",Milla Jovovich,Resident Evil: Afterlife ,"['alaska', 'female gunfighter', 'mutation', 'ship', 'siege']",R,Horror,17.9098551202,"['Paul W.S. Anderson', 'Milla Jovovich', 'alaska', 'female', 'gunfighter', 'mutation', 'ship', 'siege']"
Will Finn,110000000.0,"['Animation', 'Comedy', 'Family', 'Music', 'Western']",Steve Buscemi,Home on the Range ,"['cattle', 'cow', 'dairy farm', 'farm', 'rustler']",PG,Western,18.5159909238,"['Will Finn', 'Steve Buscemi', 'cattle', 'cow', 'dairy', 'farm', 'farm', 'rustler']"
Jay Roach,55000000.0,['Comedy'],Robert De Niro,Meet the Parents ,"['cat', 'cia', 'jewish', 'male nurse', 'nurse']",PG-13,Comedy,17.8228437432,"['Jay Roach', 'Robert De Niro', 'cat', 'cia', 'jewish', 'male', 'nurse', 'nurse']"
Gavin O'Connor,30000000.0,"['Crime', 'Drama', 'Thriller']",Jennifer Ehle,Pride and Glory ,"['brother in law', 'corruption', 'drug dealer', 'drugs', 'police']",R,Crime,17.2167079396,"[""Gavin O'Connor"", 'Jennifer Ehle', 'brother', 'in', 'law', 'corruption', 'drug', 'dealer', 'drugs', 'police']"
Robert Schwentke,130000000.0,"['Action', 'Comedy', 'Fantasy']",Ryan Reynolds,R.I.P.D. ,"['drug dealer', 'gold', 'partner', 'police', 'undead']",PG-13,Rom-Com,18.6830450084,"['Robert Schwentke', 'Ryan Reynolds', 'drug', 'dealer', 'gold', 'partner', 'police', 'undead']"
Mikael Salomon,70000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Morgan Freeman,Hard Rain ,"['dam', 'flood', 'money', 'police', 'sheriff']",R,Action-Comedy,18.0640058,"['Mikael Salomon', 'Morgan Freeman', 'dam', 'flood', 'money', 'police', 'sheriff']"
James Wong,49000000.0,"['Action', 'Sci-Fi', 'Thriller']",Jason Statham,The One ,"['fight', 'multiverse', 'police', 'police officer', 'prison']",PG-13,Sci-Fi,17.7073308561,"['James Wong', 'Jason Statham', 'fight', 'multiverse', 'police', 'police', 'officer', 'prison']"
Anthony Hemingway,58000000.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",David Oyelowo,Red Tails ,"['african american', 'battle', 'italy', 'tuskegee airmen', 'world war two']",PG-13,War,17.8759535685,"['Anthony Hemingway', 'David Oyelowo', 'african', 'american', 'battle', 'italy', 'tuskegee', 'airmen', 'world', 'war', 'two']"
Marc Lawrence,60000000.0,"['Comedy', 'Romance']",Dorian Missick,Two Weeks Notice ,"['developer', 'divorce', 'lawyer', 'love', 'new york city']",PG-13,Rom-Com,17.9098551202,"['Marc Lawrence', 'Dorian Missick', 'developer', 'divorce', 'lawyer', 'love', 'new', 'york', 'city']"
Frank Oz,55000000.0,['Comedy'],Robert Downey Jr.,Bowfinger ,"['film within a film', 'filmmaking', 'guerrilla filmmaking', 'making of a movie', 'scientology parody']",PG-13,Comedy,17.8228437432,"['Frank Oz', 'Robert Downey Jr.', 'film', 'within', 'a', 'film', 'filmmaking', 'guerrilla', 'filmmaking', 'making', 'of', 'a', 'movie', 'scientology', 'parody']"
Rob Letterman,58000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",Odeya Rush,Goosebumps ,"['based on book', 'blob', 'ferris wheel', 'manuscript', 'monster']",PG,Horror,17.8759535685,"['Rob Letterman', 'Odeya Rush', 'based', 'on', 'book', 'blob', 'ferris', 'wheel', 'manuscript', 'monster']"
Barry Levinson,44000000.0,"['Crime', 'Drama', 'Thriller']",Robert De Niro,Sleepers ,"['boy', 'guard', 'kicked in the crotch', 'prank', 'sexual abuse']",R,Crime,17.5997001919,"['Barry Levinson', 'Robert De Niro', 'boy', 'guard', 'kicked', 'in', 'the', 'crotch', 'prank', 'sexual', 'abuse']"
Brad Peyton,110000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",Dwayne Johnson,San Andreas ,"['disaster movie', 'earthquake', 'journey', 'natural disaster', 'san andreas fault']",PG-13,Action-Comedy,18.5159909238,"['Brad Peyton', 'Dwayne Johnson', 'disaster', 'movie', 'earthquake', 'journey', 'natural', 'disaster', 'san', 'andreas', 'fault']"
Peter Hyams,83000000.0,"['Action', 'Fantasy', 'Horror', 'Mystery']",CCH Pounder,End of Days ,"['atheist', 'ex cop', 'female masturbation', 'female nudity', 'lucifer']",R,Horror,18.2343511658,"['Peter Hyams', 'CCH Pounder', 'atheist', 'ex', 'cop', 'female', 'masturbation', 'female', 'nudity', 'lucifer']"
Martin Campbell,75000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",Nicholas Lea,Vertical Limit ,"['death', 'die hard scenario', 'k2', 'rescue', 'urination']",PG-13,Action-Comedy,18.1329986715,"['Martin Campbell', 'Nicholas Lea', 'death', 'die', 'hard', 'scenario', 'k2', 'rescue', 'urination']"
Brett Ratner,140000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Tzi Ma,Rush Hour 3 ,"['ambassador', 'assassination', 'chinese', 'french', 'triad']",PG-13,Rom-Com,18.7571529806,"['Brett Ratner', 'Tzi Ma', 'ambassador', 'assassination', 'chinese', 'french', 'triad']"
Etan Cohen,40000000.0,"['Comedy', 'Crime']",Will Ferrell,Get Hard ,"['camera focus on female butt', 'gay bar', 'millionaire', 'singing in a car', 'two word title']",R,Rom-Com,17.5043900121,"['Etan Cohen', 'Will Ferrell', 'camera', 'focus', 'on', 'female', 'butt', 'gay', 'bar', 'millionaire', 'singing', 'in', 'a', 'car', 'two', 'word', 'title']"
David Wain,28000000.0,['Comedy'],Joe Lo Truglio,Role Models ,"['absent father', 'big brother', 'community service', 'live action role playing', 'peter pan syndrome']",R,Comedy,17.1477150681,"['David Wain', 'Joe Lo Truglio', 'absent', 'father', 'big', 'brother', 'community', 'service', 'live', 'action', 'role', 'playing', 'peter', 'pan', 'syndrome']"
Burr Steers,20000000.0,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",Matthew Perry,17 Again ,"['adult as child', 'father son relationship', 'high school student', 'janitor', 'school']",PG-13,Family,16.8112428315,"['Burr Steers', 'Matthew Perry', 'adult', 'as', 'child', 'father', 'son', 'relationship', 'high', 'school', 'student', 'janitor', 'school']"
Neill Blomkamp,115000000.0,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",Matt Damon,Elysium ,"['christ figure', 'class differences', 'messiah', 'saviour', 'social commentary']",R,Sci-Fi,18.5604426863,"['Neill Blomkamp', 'Matt Damon', 'christ', 'figure', 'class', 'differences', 'messiah', 'saviour', 'social', 'commentary']"
