director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted
Barry Levinson,44000000.0,"['Crime', 'Drama', 'Thriller']",Robert De Niro,Sleepers ,"['boy', 'guard', 'kicked in the crotch', 'prank', 'sexual abuse']",R,Crime
Brad Peyton,110000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",Dwayne Johnson,San Andreas ,"['disaster movie', 'earthquake', 'journey', 'natural disaster', 'san andreas fault']",PG-13,Action-Comedy
Peter Hyams,83000000.0,"['Action', 'Fantasy', 'Horror', 'Mystery']",CCH Pounder,End of Days ,"['atheist', 'ex cop', 'female masturbation', 'female nudity', 'lucifer']",R,Horror
Martin Campbell,75000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",Nicholas Lea,Vertical Limit ,"['death', 'die hard scenario', 'k2', 'rescue', 'urination']",PG-13,Action-Comedy
Brett Ratner,140000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Tzi Ma,Rush Hour 3 ,"['ambassador', 'assassination', 'chinese', 'french', 'triad']",PG-13,Rom-Com
Etan Cohen,40000000.0,"['Comedy', 'Crime']",Will Ferrell,Get Hard ,"['camera focus on female butt', 'gay bar', 'millionaire', 'singing in a car', 'two word title']",R,Rom-Com
David Wain,28000000.0,['Comedy'],Joe Lo Truglio,Role Models ,"['absent father', 'big brother', 'community service', 'live action role playing', 'peter pan syndrome']",R,Comedy
Burr Steers,20000000.0,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",Matthew Perry,17 Again ,"['adult as child', 'father son relationship', 'high school student', 'janitor', 'school']",PG-13,Family
Neill Blomkamp,115000000.0,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",Matt Damon,Elysium ,"['christ figure', 'class differences', 'messiah', 'saviour', 'social commentary']",R,Sci-Fi
Andrew Adamson,60000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Kathleen Freeman,Shrek ,"['donkey', 'fairy tale', 'ogre', 'princess', 'swamp']",PG,Animation
Stephen Herek,40000000.0,"['Comedy', 'Romance']",Angelina Jolie Pitt,Life or Something Like It ,"['football', 'homeless man', 'interview', 'psychic', 'reporter']",PG-13,Rom-Com
Peter Berg,70000000.0,"['Action', 'Drama', 'Thriller']",Jennifer Garner,The Kingdom ,"['al qaeda', 'bomb making', 'fbi', 'saudi arabia', 'stabbed in the crotch']",R,Action-Comedy
Joe Dante,40000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",Kirsten Dunst,Small Soldiers ,"['action figure', 'battle', 'computer', 'military', 'toy']",PG-13,Family
Gavin Hood,110000000.0,"['Action', 'Sci-Fi']",Harrison Ford,Ender's Game ,"['alien', 'future', 'manipulation', 'simulation', 'training']",PG-13,Sci-Fi
James Cameron,102000000.0,"['Action', 'Sci-Fi']",Joe Morton,Terminator 2: Judgment Day ,"['future', 'liquid metal', 'multiple cameos', 'sexy woman', 'time travel']",R,Sci-Fi
Andrzej Bartkowiak,60000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",Dwayne Johnson,Doom ,"['commando unit', 'extra chromosome', 'first person shooter', 'special forces', 'teleportation']",R,Horror
Peter MacDonald,63000000.0,"['Action', 'Adventure', 'Thriller', 'War']",Sylvester Stallone,Rambo III ,"['afghanistan', 'colonel', 'rambo', 'rescue', 'soviet']",R,War
Igor Kovalyov,24000000.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Musical']",Elizabeth Daily,The Rugrats Movie ,"['baby', 'home', 'hospital', 'lost', 'newborn baby']",G,Animation
Guy Ritchie,90000000.0,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",Robert Downey Jr.,Sherlock Holmes ,"['black magic', 'bridge construction', 'professor moriarty', 'scotland yard inspector', 'sherlock holmes']",PG-13,Mystery
George A. Romero,8000000.0,"['Comedy', 'Fantasy', 'Horror']",Ted Danson,Creepshow ,"['anthology', 'child abuse', 'critically acclaimed', 'death', 'grindhouse']",R,Horror
Jay Russell,55000000.0,"['Action', 'Drama', 'Thriller']",Billy Burke,Ladder 49 ,"['death of husband', 'fire', 'firefighter', 'funeral', 'main character dies']",PG-13,Action-Comedy
James Gunn,170000000.0,"['Action', 'Adventure', 'Sci-Fi']",Bradley Cooper,Guardians of the Galaxy ,"['bounty hunter', 'outer space', 'raccoon', 'talking animal', 'tree']",PG-13,Sci-Fi
Mimi Leder,40000000.0,['Drama'],Kevin Spacey,Pay It Forward ,"['alcoholism', 'boy', 'good deed', 'protective male', 'teacher']",PG-13,Drama
Seth MacFarlane,40000000.0,"['Comedy', 'Western']",Liam Neeson,A Million Ways to Die in the West ,"['dancing sheep', 'fetish', 'musical scene', 'racial humor', 'snake poison']",R,Western
Spike Lee,33000000.0,"['Biography', 'Drama', 'History', 'Romance']",Denzel Washington,Malcolm X ,"['african american', 'black history', 'civil rights', 'ku klux klan', 'nation of islam']",PG-13,Biography
Raja Gosnell,105000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Jacob Tremblay,The Smurfs 2 ,"['based on cartoon', 'box office hit', 'no opening credits', 'sequel', 'smurf']",PG,Animation
Francis Lawrence,160000000.0,"['Adventure', 'Sci-Fi']",Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,"['death of sister', 'dystopia', 'execution', 'rebellion', 'revolution']",PG-13,Sci-Fi
J.B. Rogers,30000000.0,['Comedy'],Alyson Hannigan,American Pie 2 ,"['beach', 'beach house', 'college', 'party', 'student']",R,Comedy
Renny Harlin,98000000.0,"['Action', 'Adventure', 'Comedy']",Christopher Masterson,Cutthroat Island ,"['latin', 'pirate', 'pirate ship', 'treasure', 'treasure map']",PG-13,Rom-Com
Terrence Malick,32000000.0,"['Drama', 'Fantasy']",Brad Pitt,The Tree of Life ,"['1950s', 'children', 'ice cube', 'texas', 'waco texas']",PG-13,Drama
Curtis Hanson,55000000.0,"['Comedy', 'Drama']",Robert Downey Jr.,Wonder Boys ,"['based on novel', 'college girl', 'midlife crisis', 'pittsburgh pennsylvania', 'professor']",R,Rom-Com
Paul Tibbitt,74000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Tim Conway,The SpongeBob Movie: Sponge Out of Water ,"['book', 'magic', 'pirate', 'plankton', 'time machine']",PG,Animation
Todd Phillips,65000000.0,"['Comedy', 'Drama']",Robert Downey Jr.,Due Date ,"['actor', 'aspiring actor', 'birth', 'misadventure', 'suitcase']",R,Rom-Com
Dan Scanlon,200000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Steve Buscemi,Monsters University ,"['cheating', 'fraternity', 'monster', 'singing in a car', 'university']",G,Animation
Florent-Emilio Siri,52000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Jimmy Bennett,Hostage ,"['california', 'hostage', 'hostage negotiator', 'organized crime', 'police']",R,Mystery
Moustapha Akkad,35000000.0,"['Biography', 'Drama', 'History', 'War']",Oliver Reed,Lion of the Desert ,"['arab', 'general', 'libya', 'muslim', 'mussolini']",PG,War
Peter Ho-Sun Chan,40000000.0,"['Action', 'Drama', 'History', 'Romance', 'War']",Jet Li,The Warlords ,"['assassination', 'blood brother', 'dynasty', 'general', 'stabbing a woman']",R,War
Adam Shankman,75000000.0,"['Comedy', 'Drama', 'Musical', 'Romance']",James Martin Kelly,Rock of Ages ,"['concert', 'love', 'music industry', 'panties', 'pole dancer']",PG-13,Musical
Wes Anderson,40000000.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",Bill Murray,Fantastic Mr. Fox ,"['cider', 'farm', 'farmer', 'fox', 'tale']",PG,Animation
Adam McKay,28000000.0,"['Biography', 'Comedy', 'Drama', 'History']",Ryan Gosling,The Big Short ,"['bank', 'banking', 'finance', 'fraud', 'mortgage']",R,Biography
David Lynch,40000000.0,"['Action', 'Adventure', 'Sci-Fi']",Virginia Madsen,Dune ,"['desert planet', 'dune', 'giant worm', 'space travel', 'spice']",PG-13,Sci-Fi
Francis Lawrence,130000000.0,"['Adventure', 'Sci-Fi', 'Thriller']",Jennifer Lawrence,The Hunger Games: Catching Fire ,"['president', 'snow', 'television', 'tour', 'uprising']",PG-13,Sci-Fi
Joe Johnston,100000000.0,"['Action', 'Adventure', 'Western']",J.K. Simmons,Hidalgo ,"['arab', 'cowboy', 'horse', 'race', 'sheik']",PG-13,Western
Cameron Crowe,68000000.0,"['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",Tom Cruise,Vanilla Sky ,"['death', 'dream', 'love', 'lynchian', 'reality']",R,Sci-Fi
Darren Aronofsky,125000000.0,"['Action', 'Adventure', 'Drama']",Anthony Hopkins,Noah ,"['ark', 'flood', ""noah's ark"", 'water', 'wrath of god']",PG-13,Action-Comedy
Rich Moore,165000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Jack McBrayer,Wreck-It Ralph ,"['arcade', 'candy', 'glitch', 'king', 'medal']",PG,Animation
Geoffrey Sax,40000000.0,"['Action', 'Adventure', 'Family', 'Thriller']",Alex Pettyfer,Alex Rider: Operation Stormbreaker ,"['14 year old', 'british', 'gadget', 'spy', 'training']",PG,Family
Eric Darnell,105000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Sylvester Stallone,Antz ,"['ant', 'friend', 'princess', 'soldier', 'worker']",PG,Animation
Dennis Dugan,80000000.0,['Comedy'],Steve Buscemi,Grown Ups ,"['basketball', 'coach', 'daughter', 'high school', 'high school basketball']",PG-13,Comedy
Robert Rodriguez,29000000.0,"['Action', 'Crime', 'Thriller']",Johnny Depp,Once Upon a Time in Mexico ,"['agent', 'cia', 'mariachi', 'mexican', 'president']",R,Action-Comedy
Will Finn,70000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical']",Lea Michele,Legends of Oz: Dorothy's Return ,"['jester', 'kansas', 'oz', 'princess', 'tornado']",PG,Animation
John Carpenter,40000000.0,"['Comedy', 'Romance', 'Sci-Fi', 'Thriller']",Richard Epcar,Memoirs of an Invisible Man ,"['accident', 'bar', 'chase', 'cia', 'laboratory']",PG-13,Sci-Fi
John Glen,27500000.0,"['Action', 'Adventure', 'Thriller']",Louis Jourdan,Octopussy ,"['agent', 'egg', 'faberge egg', 'general', 'russian']",PG,Action-Comedy
John McTiernan,70000000.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",F. Murray Abraham,Last Action Hero ,"['action hero', 'hero', 'magic', 'ticket', 'video store']",PG-13,Rom-Com
Garry Marshall,37000000.0,"['Comedy', 'Family', 'Romance']",Anne Hathaway,The Princess Diaries ,"['cinderella story', 'fish out of water', 'makeover', 'manners', 'princess']",G,Family
Jon Hurwitz,50000000.0,['Comedy'],Alyson Hannigan,American Reunion ,"['bikini', 'female female kiss', 'high school reunion', 'outdoor sex', 'upskirt']",R,Comedy
Roger Allers,85000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Jon Favreau,Open Season ,"['bear', 'deer', 'forest', 'grizzly bear', 'hunter']",PG,Animation
Ron Clements,28000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Robin Williams,Aladdin ,"['arab', 'genie', 'magic', 'princess', 'reference to a thousand and one nights']",G,Animation
Ted Demme,30000000.0,"['Biography', 'Crime', 'Drama']",Johnny Depp,Blow ,"['1960s', '1970s', 'california', 'cocaine', 'wealth']",R,Biography
Jon Avnet,60000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Robert De Niro,Righteous Kill ,"['blood splatter', 'execution', 'new york city', 'nypd', 'serial killer']",R,Mystery
Jay Roach,95000000.0,['Comedy'],Will Ferrell,The Campaign ,"['campaigning', 'congressman', 'north carolina', 'title at the end', 'u.s. congressman']",R,Comedy
Antoine Fuqua,30000000.0,"['Drama', 'Sport']",Jake Gyllenhaal,Southpaw ,"['boxer', 'boxing training', 'death of wife', 'male in shower', 'rage']",R,Sport
Peter Berg,85000000.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",Dwayne Johnson,The Rundown ,"['amazon', 'bounty hunter', 'fight', 'hunter', 'jungle']",PG-13,Rom-Com
Scott Waugh,66000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Rami Malek,Need for Speed ,"['cross country', 'custom car', 'illegal street racing', 'police officer crushed', 'street racing']",PG-13,Action-Comedy
Matthew Vaughn,70000000.0,"['Adventure', 'Family', 'Fantasy', 'Romance']",Henry Cavill,Stardust ,"['king', 'magic', 'one word title', 'pirate', 'village']",PG-13,Family
Patrick Hughes,90000000.0,"['Action', 'Adventure', 'Thriller']",Jason Statham,The Expendables 3 ,"['battle', 'fight', 'mission', 'pg 13 sequel to r rated franchise', 'rescue']",PG-13,Action-Comedy
Robert Luketic,60000000.0,"['Comedy', 'Romance']",Adam Scott,Monster-in-Law ,"['breakdown', 'fight', 'mother in law', 'scheme', 'wedding']",PG-13,Rom-Com
Alex Proyas,50000000.0,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Nicolas Cage,Knowing ,"['disaster', 'end of the world', 'number', 'student', 'time capsule']",PG-13,Sci-Fi
Kathryn Bigelow,100000000.0,"['Drama', 'History', 'Thriller', 'War']",Liam Neeson,K-19: The Widowmaker ,"['courage', 'radiation sickness', 'radioactive contamination', 'sea', 'test launch']",PG-13,War
